id,date_display,date_start,date_end,date_precision,date_basis,event_title,description,category,evidence_type,source,source_link,source_type,verification_status,claim_source_map,unconfirmed_details,claims_and_disputes,notes_limitations,additional_sources
EK-011,27 Apr - 29 May 2007,2007-04-27,2007-05-29,range,confirmed,Tope Ademiluyi serves as acting governor,Chief Tope Ademiluyi was Acting Governor of Ekiti State from 27 April to 29 May 2007.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,none,https://www.zodml.org/discover-nigeria/states/ekiti-state
EK-012,29 May 2007,2007-05-29,none,day,confirmed,Segun Oni sworn in as governor,"Segun Oni of the PDP, declared winner of the April 2007 election, was sworn in on 29 May 2007. Kayode Fayemi challenged the result at the election tribunal.",Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,Start date: state past-governors list. Declared winner and Fayemi's challenge: THISDAY (2017).,none,none,Oni's tenure was interrupted in 2009; see EK-046.,https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/ | https://en.wikipedia.org/wiki/Olusegun_Oni
EK-013,2009,2009,none,year,stated_by_source,Afe Babalola University established in Ado-Ekiti,"Afe Babalola University (ABUAD), a private non-profit university, was established in Ado-Ekiti in 2009.",Education,institutional_statement,Times Higher Education: Afe Babalola University profile,https://www.timeshighereducation.com/world-university-rankings/afe-babalola-university,Institutional website,Verified,Year: THE profile and the IAU/WHED directory; ABUAD's own site gives the same.,none,none,none,https://whed.net/institutions/IAU-000132 | https://www.abuad.edu.ng/afe-babalola-university-7-shocking-facts-youve-probably-never-heard-about-this-school/
EK-046,17 Feb - 6 May 2009,2009-02-17,2009-05-06,range,confirmed (official list); rerun date from news,Appeal Court voids part of 2007 result; Tunji Odeyemi acting governor; Oni returns after rerun,"On 17 February 2009 the Court of Appeal nullified the 2007 result in part and ordered reruns in 10 of the 16 LGAs. Speaker Tunji Odeyemi served as acting governor until 6 May 2009, when Segun Oni was sworn in again after the rerun.",Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,"17 Feb 2009, Odeyemi's acting period to 6 May 2009 and the rerun order: state past-governors list. Oni sworn in again 6 May 2009: The Guardian Nigeria.","The rerun date (25 April 2009), 'reruns in 63 wards' (Vanguard) and '79 days' (Guardian, THISDAY) are not in the description. Vanguard dates the judgment 14 Feb 2009; most sources say 17 Feb.",none,The official list omits Oni's return after the rerun.,https://guardian.ng/politics/ekiti-east-by-election-and-specter-of-vicious-bloodletting-violence/ | https://www.vanguardngr.com/2010/10/ekiti-how-fayemi-became-governor/ | https://www.thisdaylive.com/2021/12/15/ekiti-2022-and-the-intriguing-battles-over-zoning/
EK-014,15-16 Oct 2010,2010-10-15,2010-10-16,range,confirmed (both days),Court of Appeal ends Oni's tenure; Kayode Fayemi sworn in,"On 15 October 2010 the Court of Appeal, sitting in Kwara State, declared Kayode Fayemi the duly elected governor of the 2007 election, ending Oni's tenure. Fayemi was sworn in on 16 October 2010.",Government,news_report,Vanguard: Ekiti: How Fayemi became governor (16 Oct 2010),https://www.vanguardngr.com/2010/10/ekiti-how-fayemi-became-governor/,News outlet,Verified,Court ruling on 15 Oct 2010: Vanguard (16 Oct 2010). Swearing-in on 16 Oct 2010: Ekiti State Government (?p=2128). Tenure end for Oni in 2010: state past-governors list and THISDAY (2017).,none,none,The official list labels Fayemi's first term APC; his party in 2010 was the ACN (the APC formed in 2013).,https://www.ekitistate.gov.ng/?p=2128 | https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/ | https://en.wikipedia.org/wiki/Kayode_Fayemi
EK-016,2011,2011,none,year,stated_by_source,University of Ado-Ekiti renamed Ekiti State University,The University of Ado-Ekiti became Ekiti State University (EKSU) in 2011.,Education,reference_work,Wikipedia: Ekiti State University,https://en.wikipedia.org/wiki/Ekiti_State_University,Reference (Wikipedia),Needs primary source,none,"The 2011 renaming rests on Wikipedia. The university's own page confirms the 1982 origin as Obafemi Awolowo University, Ado-Ekiti, but not the 2011 date.",none,Find the renaming law or an EKSU source.,https://eksu.edu.ng/about-eksu/
EK-017,2011,2011,none,year,stated_by_source,Federal University Oye-Ekiti established,Federal University Oye-Ekiti (FUOYE) was established in 2011.,Education,institutional_statement,Federal University Oye-Ekiti: official website,https://fuoye.edu.ng/,Institutional website,Verified,Year: the university's home page ('Estd. 2011').,Campuses at Oye-Ekiti and Ikole-Ekiti and a first graduating set in 2015 are from Wikipedia and are not in the description.,none,none,https://en.wikipedia.org/wiki/Federal_University_Oye_Ekiti
EK-015,Jul 2011,2011-07,none,month,stated_by_source,Rehabilitation of Ikogosi Warm Springs Resort begins,"The Fayemi administration began rehabilitating the Ikogosi Warm Springs Resort, which had suffered years of neglect, in July 2011.",Tourism,official_statement,Ekiti State Government: The re-birth of Ikogosi Warm Springs Resort,https://www.ekitistate.gov.ng/archives/3943,Government website,Single source,none,Only the state's own article supports the month.,none,The article is dated 4 Aug 2012. Site history (Baptist camp 1952; Ondo State acquired it 1978) is in the AJLA Journal case study.,https://www.ajlajournal.org/articles/ecotourism-landscape-regeneration-a-case-study-of-ikogosi-warm-springs-resort-ekiti-state-nigeria
EK-018,25 Oct 2011,2011-10-25,none,day,stated_by_source,Ekiti launches Social Security Scheme for the elderly,"Monthly payments of N5,000 to indigent citizens aged 65 and above began on 25 October 2011, starting with about 10,000 beneficiaries at Ise-Ekiti and later rising to around 20,000.",Government,official_statement,Ekiti State Government: Ekiti Marks 2nd Anniversary Of Social Security For Elderly Citizens,https://www.ekitistate.gov.ng/?p=9102,Government website,Verified,none,none,"The state describes the scheme as the first of its kind in Nigeria, West Africa or sub-Saharan Africa (the wording varies). This is a government claim and is not independently verified.",Several official articles agree on the date.,https://www.ekitistate.gov.ng/?p=6412 | https://ekitistate.gov.ng/?p=2909
EK-019,Mar 2012 (day inferred),2012-03,none,month,inferred,Social Security Scheme backed by law,"Governor Fayemi signed the Social Security bill into law in March 2012, giving the elderly-stipend scheme legal backing.",Government,official_statement,Ekiti State Government: Fayemi Signs Social Security Bill To Law,https://www.ekitistate.gov.ng/?p=1763,Government website,Single source,none,"The exact day. The article is dated 18 Mar 2012 and says 'Friday', which suggests 16 Mar, but that is an inference.",none,The law's text or gazette copy has not been seen.,none
EK-020,Oct 2012 (inferred),2012-10,none,month,inferred,Redeveloped Ikogosi resort opened to the public,"The refurbished Ikogosi resort was opened to the public around October 2012, marking the second year of the Fayemi administration. Full operations were announced for April 2013.",Tourism,official_statement,Ekiti State Government: Ikogosi Warm Spring Resort feature,https://www.ekitistate.gov.ng/?p=5909,Government website,Single source,none,The month is inferred from 'second year in office'; the article carries no explicit opening date.,none,none,https://ekitistate.gov.ng/?p=6305 | https://ekitistate.gov.ng/?p=6586
EK-021,12 Aug 2013 (stated by governor),2013-08-12,none,day,stated_by_source,Ekiti Knowledge Zone conceived,"Governor Oyebanji has stated that the Ekiti Knowledge Zone, a technology and innovation hub, was conceived on 12 August 2013 under Governor Fayemi. TechCabal independently dates the blueprint to 2013.",Technology,official_statement,Ekiti State Government: Ekiti Knowledge Zone sod-turning report,https://www.ekitistate.gov.ng/archives/33184,Government website,Single source,Exact day: governor's statement in the state report. Year 2013: TechCabal.,The exact day rests on one statement made in 2026.,none,An earlier draft wrongly said 2019.,https://techcabal.com/2025/08/11/80m-ekiti-knowledge-zone-construction-to-begin-in-2026/
EK-022,21 Jun 2014,2014-06-21,none,day,confirmed,"Fayose declared winner of governorship election, defeating incumbent Fayemi","In INEC's declaration of results for the Ekiti governorship election of 21 June 2014, Ayo Fayose (PDP) was declared elected with 203,090 votes, ahead of Kayode Fayemi (APC) with 120,433.",Government,official_record,"INEC: Declaration of Results, Ekiti State Governorship Election, June 21, 2014",https://www.inecnigeria.org/wp-content/uploads/2019/02/DECLARATION-EKITI-STATE-GOV-ELECTION-RESULT-1.pdf,INEC record,Verified,"Election date, candidates, vote totals and 'ELECTED' remark: INEC declaration document.",Date of the declaration itself is not stated in the extracted INEC table. Overall turnout and total-votes figures were not used because the table's labels could not be matched with confidence.,The APC argued Fayose was ineligible because of his 2006 impeachment (THISDAY 2017); see EK-024.,Wikipedia's percentages (58.58 and 34.74) use a different base from INEC's (56.34 and 33.41 of votes cast).,https://dailytrust.com/ekiti-election-we-are-all-winners/ | https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/
EK-047,15 Oct - 15 Nov 2014,2014-10-15,2014-11-15,range,stated_by_source,FMC Ido-Ekiti approved as teaching hospital for ABUAD students,"President Goodluck Jonathan approved, in a letter dated 15 October 2014, the upgrade of the Federal Medical Centre, Ido-Ekiti, to a Federal Teaching Hospital for the clinical training of Afe Babalola University students for ten years. ABUAD signed a memorandum of understanding with the hospital on 15 November 2014.",Health,institutional_statement,"Afe Babalola University: Jonathan upgrades FMC, Ido-Ekiti to Teaching Hospital Status",https://www.abuad.edu.ng/jonathan-upgrades-fmc-ido-ekiti-to-teaching-hospital-status/,Institutional website,Single source,none,"Both items come from ABUAD, a party to the agreement; the letter itself has not been seen.",ABUAD reports spending N2.5 billion on upgrades; this is ABUAD's own figure.,Confirm with the Federal Ministry of Health.,https://www.abuad.edu.ng/abuad-signs-memorandum-of-understanding-mou-with-federal-medical-centre-fmc-ido-ekiti-and-donate-n25billion-for-hospitals-upgrade/
EK-023,16 Oct 2014 - 16 Oct 2018,2014-10-16,2018-10-16,range,confirmed,Ayo Fayose's second term begins,The official list gives Ayo Fayose's second term as 16 October 2014 to 16 October 2018.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,none,https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/
EK-024,Apr 2015 (day not confirmed),2015-04,none,month,approximate,Supreme Court rules on Fayose's eligibility,"In April 2015 the Supreme Court held that impeachment is not a ground for disqualification from contesting the governorship again, ending the challenge to Fayose's election.",Government,news_report,THISDAY: The Judiciary as an Impediment (2017),https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/,News outlet,Needs primary source,Finding on disqualification: THISDAY (an analysis piece). Some secondary reports give 14 April 2015.,"The judgment itself, its exact date, and reports that the court also found he was not validly impeached.",none,Obtain the Supreme Court judgment or a law report.,https://medium.com/@barometerng/throwback-gov-ayo-fayose-impeachment-saga-of-2006-4613726281a8
EK-025,2016,2016,none,year,stated_by_source,Ekiti State Health Insurance Scheme law signed,The state government states that it signed into law the bill establishing the Ekiti State Health Insurance Scheme.,Health,official_statement,Ekiti State Government: Ekiti Health Insurance Scheme page,https://www.ekitistate.gov.ng/ekhis/,Government website,Single source,none,"Month and day, and the law's text.",none,In Feb 2021 the state was still describing the scheme as being rolled out.,https://www.ekitistate.gov.ng/?p=22500
EK-026,29 Aug 2016,2016-08-29,none,day,confirmed,Anti-open grazing law signed,"Governor Fayose signed the Prohibition of Cattle and Other Ruminants Grazing in Ekiti Law, 2016, restricting grazing to set hours and designated areas, after an attack in Oke-Ako, Ikole LGA.",Government,news_report,Ripples Nigeria: Fayose's anti-grazing law stirs controversy,https://ripplesnigeria.com/fayoses-anti-grazing-law-stirs-controversy,News outlet,Needs primary source,none,The law's text or a gazette copy has not been seen; the description comes from news reports.,"Herders' groups contested the law (Channels TV, Oct 2016).",Two news outlets give the same date. A state Assembly or gazette source is needed for a law.,https://thewillnews.com/fayose-signs-bill-prohibiting-herdsmen-grazing-with-arms-action-now-becomes-terrorism-in-ekiti/ | https://www.channelstv.com/2016/10/22/cattle-breeders-seek-fgs-intervention-in-ekiti-restrictions
EK-027,Oct 2017,2017-10,none,month,stated_by_source,ABUAD Teaching Hospital (400 beds) inaugurated,The 400-bed Afe Babalola University Teaching Hospital in Ado-Ekiti was inaugurated in October 2017. Vice President Yemi Osinbajo was represented by Health Minister Prof. Isaac Adewole.,Health,institutional_statement,Afe Babalola University: Osinbajo inaugurates ABUAD Teaching Hospital (culled from Punch),https://www.abuad.edu.ng/?p=11856,Institutional website,Single source,none,The source is the hospital owner's site reprinting a news report; the original Punch article has not been located.,none,An ABUAD notice scheduled the commissioning for 20 Oct 2017. An earlier draft said Osinbajo commissioned it in person.,https://www.abuad.edu.ng/vice-president-prof-yemi-osinbajo-commissions-abuad-multi-system-hospital/ | https://en.wikipedia.org/wiki/Afe_Babalola_University_Teaching_Hospital
EK-028,14-15 Jul 2018,2018-07-14,2018-07-15,range,confirmed (election day 14 Jul; declaration 15 Jul),Fayemi declared winner of governorship election,"The governorship election was held on 14 July 2018. On 15 July INEC's chief returning officer declared Kayode Fayemi (APC) the winner with 197,459 votes against 178,121 for Kolapo Olusola (PDP), as reported by Channels TV, THISDAY and ICIR.",Government,news_report,Channels TV: INEC Announces Ekiti Governorship Election Results (15 Jul 2018),https://www.channelstv.com/2018/07/15/inec-announces-ekiti-governorship-election-results-full-list/,News outlet,Needs primary source,"Declaration on 15 Jul and totals: Channels TV, THISDAY, ICIR. Election day 14 Jul: Wikipedia and THISDAY.",INEC's own declaration document has not been read. Sources also disagree on how many LGAs Fayemi won (11 to 13).,none,"Wikipedia shows slightly different totals (197,462 and 177,927). INEC posted its results on its official X account (status 1018205951625777155), which could not be read automatically.",https://thisdaylive.com/index.php/2018/07/15/inec-declares-fayemi-winner | https://www.icirnigeria.org/fayemi-defeats-olusola-pdp-candidate/ | https://x.com/inecnigeria/status/1018205951625777155
EK-029,16 Oct 2018 - 16 Oct 2022,2018-10-16,2022-10-16,range,confirmed,Kayode Fayemi's second term,The official list gives Kayode Fayemi's second term as 16 October 2018 to 16 October 2022.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,none,https://www.zodml.org/discover-nigeria/states/ekiti-state
EK-030,Late 2019,2019,none,year,approximate,Construction of Ekiti airport begins,"Construction of the airport in Ado-Ekiti, later named the Ekiti Agro-Allied International Cargo Airport, began in late 2019 under Governor Fayemi.",Infrastructure,news_report,ch-aviation: Ado Ekiti opens for first commercial flights,https://www.ch-aviation.com/news/161786-ado-ekiti-nigeria-opens-for-first-commercial-flights,News outlet,Verified,Late 2019 start: ch-aviation. Construction began under Fayemi ('six years ago' in Dec 2025): TheCable.,none,"Governor Oyebanji credits four administrations: Oni conceived it, Fayose acquired the site, Fayemi began construction and Oyebanji completed it (TheCable).",none,https://www.thecable.ng/ekiti-airport-begins-commercial-flight-operations/
EK-031,2020,2020,none,year,stated_by_source,"College of Education, Ikere-Ekiti upgraded to a university (now BOUESTI)","Governor Fayemi signed into law in 2020 the bill upgrading the College of Education, Ikere-Ekiti (established 5 December 1977) to a university. By January 2021 it was operating as Bamidele Olumilua University of Education, Science and Technology.",Education,news_report,"Nigerian NewsDirect: Newly-established Bamidele Olumilua Varsity gets VC, Registrar (7 Jan 2021)",https://nigeriannewsdirect.com/newly-established-bamidele-olumilua-varsity-gets-vc-registrar-others-2/,News outlet,Verified,"Bill signed 'last year' (2020), 1977 founding, name in use by Jan 2021: Nigerian NewsDirect. Upgrade 'last year' (2020): Vanguard (12 Feb 2021).","The exact date. One listing gives 16 Oct 2020 citing the university site; not confirmed. Wikipedia adds that the Assembly passed the bill in 2020 and that it was first named Ekiti State University of Education, Science and Technology.",none,The year is derived from 'last year' in two 2021 reports.,"https://www.vanguardngr.com/2021/02/fayemi-appoints-olanipekun-as-chancellor-of-new-ekiti-varsity/ | https://en.wikipedia.org/wiki/College_of_Education,_Ikere_Ekiti | https://www.listofuni.com/university/bamidele-olumilua-university-of-education-science-and-technology-ikere-ekiti"
EK-036,2022 or 2023 (unresolved),2022,2023,range,disputed,Ikogosi Warm Springs Resort placed under private concession,"The state handed management of the Ikogosi resort to Glocient Hospitality Limited, a Cavista Holdings subsidiary, under a 15-year build-operate-transfer concession.",Tourism,news_report,THISDAY: Glocient Hospitality Urges Tourists to Visit Ikogosi (22 Jul 2023),https://thisdaylive.com/index.php/2023/07/22/glocient-hospitality-urges-tourists-to-visit-ikogosi,News outlet,Conflicting sources,Concession terms and operator: THISDAY. Year 2022: facts.ng.,"The signing year. The THISDAY article is dated July 2023 but refers to a concession ceremony in 'October 2023', which cannot be right.",none,The range records the conflict; no year is selected. Confirm with the Ministry of Tourism.,https://facts.ng/places/ikogosi-warm-springs-resort | https://thisdaylive.com/index.php/2025/01/11/ikogosi-warm-springs-resort
EK-037,2022-2023 (unresolved),2022,2023,range,approximate,Ido-Ekiti listed among four new federal teaching hospitals,"A National Assembly Act created new Federal Teaching Hospitals, including one at Ido, according to Voice of Nigeria.",Health,news_report,Voice of Nigeria: Vice Chancellor commends President Buhari's efforts to improve healthcare delivery,https://von.gov.ng/vice-chancellor-commends-president-buharis-efforts-to-improve-healthcare-delivery/,News outlet,Needs primary source,none,"The Ido-specific date and the Act's text. The article's dates (Senate passage 21 Jun 2022, presidential approval 10 Feb 2023) are given for Lokoja.",none,The 2014 approval that first made the hospital a teaching hospital for ABUAD is a separate entry (EK-047).,"https://en.wikipedia.org/wiki/Federal_Medical_Centre,_Ido_Ekiti"
EK-033,18-19 Jun 2022,2022-06-18,2022-06-19,range,confirmed (election day; declaration day reported),Oyebanji declared winner of governorship election,"The governorship election was held on 18 June 2022. Biodun Oyebanji (APC) was reported as declared winner with 187,057 votes, ahead of Segun Oni (SDP) with about 82,000 and Bisi Kolawole (PDP) with 67,457.",Government,news_report,The Guardian Nigeria: Oni and penchant for seeking judicial validation of elections (17 Jul 2022),https://guardian.ng/politics/oni-and-penchant-for-seeking-judicial-validation-of-elections/,News outlet,Needs primary source,Election date 18 Jun 2022: Ekiti State Government (archives/24343). Vote figures: Guardian and Wikipedia.,"INEC's own declaration has not been read. Oni's total is given as 82,209 (Guardian), 82,211 (Wikipedia) and 82,459 (THISDAY); no figure is selected.","Segun Oni (SDP) filed a petition challenging the result (Guardian, 17 Jul 2022); the outcome has not been checked.","INEC posted the declaration on its official X and Facebook accounts, which could not be read automatically.",https://www.ekitistate.gov.ng/archives/24343 | https://en.wikipedia.org/wiki/2022_Ekiti_State_gubernatorial_election | https://x.com/inecnigeria/status/1538528881879261184 | https://www.facebook.com/inecnigeria/posts/declaration-of-result-of-the-ekiti-state-governorship-election-held-on-saturday-/404942308325501/
EK-032,Aug 2022,2022-08,none,month,approximate,MICS6 results show Ekiti with second-lowest out-of-school rate,"Results of the Multiple Indicator Cluster Survey 6, presented by a UNICEF official in August 2022, are reported to put Ekiti's out-of-school rate at 2 percent, second only to Imo at 1 percent.",Education,news_report,"Prime Business Africa: Imo, Ekiti Record Lowest Number Of Out Of School Children (31 Aug 2022)",https://www.primebusiness.africa/imo-ekiti-record-lowest-number-of-out-of-school-children-surveys,News outlet,Needs primary source,none,The survey's own state table; the age range and exact figure.,none,"Several outlets quote the same UNICEF official, so they are one underlying source. Find the NBS/UNICEF MICS6 report.",https://ripplesnigeria.com/imo-ekiti-have-lowest-number-of-out-of-school-children-in-nigeria-unicef | https://von.gov.ng/?p=163584 | https://dubawa.org/fact-checking-oyebanjis-election-broadcast-claims/?amp=1
EK-035,Oct 2022 (year disputed),2022-10,none,month,disputed,Ekiti airport ceremonially commissioned while unfinished,Governor Fayemi commissioned the airport in a ceremony shortly before leaving office; the state government of the day said the facility was still under construction.,Infrastructure,news_report,SaharaReporters: Ekiti Government confirms airport still under construction (22 Oct 2022),https://saharareporters.com/2022/10/22/ekiti-government-confirms-saharareporters-story-says-cargo-airport-commissioned-ex,News outlet,Conflicting sources,October 2022: SaharaReporters report dated 22 Oct 2022 and Fayemi's tenure ending 16 Oct 2022. October 2023: Daily Trust.,The year of the ceremony.,none,Basis for recording 2022: the contemporaneous report and the end of Fayemi's tenure. Not treated as settled; confirm with an official source.,https://dailytrust.com/first-commercial-flight-lands-at-ekiti-airport/
EK-034,16 Oct 2022,2022-10-16,none,day,confirmed,Oyebanji sworn in as governor,"Biodun Oyebanji was sworn in as governor of Ekiti State on Sunday 16 October 2022, succeeding Kayode Fayemi.",Government,official_statement,Ekiti State Government: Governor Oyebanji: My Vision is for Ekiti to be a Land of Prosperity,https://www.ekitistate.gov.ng/archives/24343,Government website,Verified,Date and swearing-in: state report; state past-governors list (Fayemi's term ends 16 Oct 2022); THISDAY and Channels TV.,none,none,none,https://thisdaylive.com/index.php/2022/10/16/oyebanji-sworn-in-as-ekiti-gov-promises-prosperity-abundance | https://www.channelstv.com/2022/10/16/breaking-oyebanji-takes-oath-of-office-as-ekiti-governor
EK-039,2024 (late Aug or early Sep),2024,none,year,approximate,Udiroko festival 2024: senators donate N110 million to Ado-Ekiti,"At the 2024 Udiroko festival in Ado-Ekiti, Senate leaders donated N110 million toward the town's development and Senate President Akpabio was installed as an honorary chief.",Culture,news_report,Tribune Online: Udiroko festival 2024,https://tribuneonlineng.com/udiroko-festival-celebrating-culture-tradition-towards-devpt-of-ado-ekiti/,News outlet,Single source,none,The festival's exact date; the article is dated 6 Sep 2024.,none,none,none
